date,equity,daily_return,gross_exposure,drawdown
2026-06-06,2000.0,0.0,0.0,0.0
2026-06-07,2000.0,0.0,0.0,0.0
2026-06-08,2000.0,0.0,0.0,0.0
2026-06-09,2000.0,0.0,0.0,0.0
2026-06-10,2000.0,0.0,0.0,0.0
2026-06-11,2000.0,0.0,0.0,0.0
2026-06-12,2000.0,0.0,0.0,0.0
2026-06-13,2000.0,0.0,0.0,0.0
2026-06-14,2000.0,0.0,0.0,0.0
2026-06-15,2000.0,0.0,0.0,0.0
2026-06-16,2000.0,0.0,0.0,0.0
2026-06-17,2000.0,0.0,0.0,0.0
2026-06-18,2000.0,0.0,0.0,0.0
2026-06-19,2000.0,0.0,0.0,0.0
2026-06-20,2000.0,0.0,0.0,0.0
2026-06-21,2000.0,0.0,0.0,0.0
2026-06-22,2000.0,0.0,0.0,0.0
2026-06-23,2000.0,0.0,0.0,0.0
2026-06-24,2000.0,0.0,0.0,0.0
2026-06-25,2000.0,0.0,0.0,0.0
2026-06-26,2000.0,0.0,0.0,0.0
2026-06-27,2000.0,0.0,0.0,0.0
2026-06-28,2000.0,0.0,0.0,0.0
2026-06-29,2000.0,0.0,0.0,0.0
2026-06-30,2000.0,0.0,0.0,0.0
2026-07-01,2000.0,0.0,0.0,0.0
2026-07-02,2000.0,0.0,0.0,0.0
2026-07-03,2000.0,0.0,0.0,0.0
2026-07-04,2000.0,0.0,0.0,0.0
2026-07-05,2000.0,0.0,0.0,0.0
